,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
1273,RedGrid5,2,0.655534,-0.01219978763807,-0.0348642032663745,-0.0348642032663745,0.0,0.0,0 days 00:11:24.396873
1274,RedGrid75,2,0.655534,-0.01219978763807,-0.0348642032663745,-0.0348642032663745,0.0,0.0,0 days 00:11:15.700623
1275,ExpGrad.1,2,0.701414,-0.0469848084861201,-0.0941935680961181,-0.0941935680961181,0.0,-0.0356780782503301,0 days 00:02:52.674008
1276,ExpGrad.01,2,0.617707,-0.0080443095166812,-0.0108473410929745,-0.010829089070122,0.0,-0.0108473410929745,0 days 00:03:50.486827
1277,RedGrid25,2,0.651267,-0.0121293100841314,-0.0346133492546607,-0.0346133492546607,0.0,0.0,0 days 00:13:28.770881
1278,RedGrid5,2,0.651267,-0.0121293100841314,-0.0346133492546607,-0.0346133492546607,0.0,0.0,0 days 00:13:46.693586
1279,RedGrid75,2,0.651267,-0.0121293100841314,-0.0346133492546607,-0.0346133492546607,0.0,0.0,0 days 00:13:51.871021
1280,ExpGrad.1,1,0.70897,-0.0230711210276032,-0.0973144696170177,-0.0973144696170177,-0.029872921647194,-0.0170101513023704,0 days 00:02:54.302180
1281,ExpGrad.01,1,0.600063,-0.000263534345195,-0.0135624226142079,-0.0135624226142079,0.0,0.0,0 days 00:03:16.187856
1282,RedGrid25,1,0.707665,-0.0678136630191954,-0.1329955746737879,-0.1329955746737879,-0.0731137212760253,-0.0628650191005558,0 days 00:12:53.580900
1283,RedGrid5,1,0.698728,-0.0018152501273408,-0.0934192822543504,-0.0934192822543504,0.0,0.0,0 days 00:13:20.837995
1284,RedGrid75,1,0.698728,-0.0018152501273408,-0.0934192822543504,-0.0934192822543504,0.0,0.0,0 days 00:13:08.941262
1285,ExpGrad.1,2,0.717049,-0.0653293644519464,-0.101269512033405,-0.101269512033405,-0.0372353461802359,-0.0516703478567159,0 days 00:02:30.786723
1286,ExpGrad.01,2,0.613507,-0.0081682364998137,-0.0087917367252307,-0.0087917367252307,-0.0069452714157637,-0.0084283249382657,0 days 00:04:10.151495
1287,RedGrid25,2,0.719051,-0.0743726079782805,-0.0963055525732309,-0.0963055525732309,-0.0658144177806884,-0.0602348899635122,0 days 00:12:47.920941
1288,RedGrid5,2,0.687035,-0.0336334761505373,-0.0625499932031249,-0.0625499932031249,-0.0364752096074168,-0.0054497193948335,0 days 00:10:41.761027
1289,RedGrid75,2,0.687035,-0.0336334761505373,-0.0625499932031249,-0.0625499932031249,-0.0364752096074168,-0.0054497193948335,0 days 00:10:57.877154
1290,ExpGrad.1,0,0.706248,-0.0799441161797752,-0.0970315004879287,-0.0970315004879287,-0.0689776190629765,-0.0710494329292663,0 days 00:02:24.938041
1291,ExpGrad.01,0,0.683791,-0.0140242099241232,-0.0185413348722093,-0.0185413348722093,-0.0126441662816362,-0.0108283577771398,0 days 00:04:48.900384
